Position,ApplicationDate,Notes,Source,JobUrl
surescripts,1/23/2026,,surescripts,,
Senior Software Engineer -- amerisave mortgage corp,1/21/2026,remote,amerisave mortgage corp,,
Senior Data Engineer -- attain finance,1/21/2026,,attain finance,,
sql developer -- weiss ratings,1/21/2026,remote,weiss ratings,,
software developer II -- proactive global,1/21/2026,remote,proactive global,,
mysql database administrator -- aarnest inc,1/21/2026,,aarnest inc,,
senior .net developer (aws),1/21/2026,remote,,,
"microsoft ,net web application developer",1/21/2026,job closed or expired on indeed,,,
Senior Software Engineer -- uster technologies,1/21/2026,knoxville,uster technologies,,
senior software developer -- therapynotes,1/21/2026,remote,therapynotes,,
mid/senior full stack developer(c#/vuejs) -- porch software,1/21/2026,remote,porch software,,
senior software engineer -- self-realization fellowship,1/21/2026,remote,self-realization fellowship,,
developer manager -- cordant health solutions,1/21/2026,,cordant health solutions,,
,,,,,
senior it engineer -- insource services,1/24/2026,,insource services,,
senior data engineer -- emergent staffing,1/24/2026,remote,emergent staffing,,
Software Developer II -- resman llc,1/24/2026,"plano, tx",resman llc,,
Senior Backend Developer -- Mesa Associates ,1/24/2026,,Mesa Associates,,
,,,,,
Principal Data Manager I -- everest clinical research,1/25/2026,remote,everest clinical research,,
,,,,,
Software developer -- honor tech,1/26/2026,remote contract $50,honor tech,,
Technology Test Manager -- systemtec,1/26/2026,remote contract $60,systemtec,,
"Senior Staff Software Engineer, Backend (Consumer - Financial Services and Loyalty)",1/26/2026,remote,Backend (Consumer - Financial Services and Loyalty),,
,,,,,
"DevSecOps Engineer -- KeyLogic Systems - Oak Ridge, TN",1/27/2026,,"KeyLogic Systems - Oak Ridge, TN",,
Software Development Manager -- Professional Employment Group of Colorado ,1/27/2026,remote,Professional Employment Group of Colorado ,,
Senior Cloud Infrastructure Engineer -- Digioh,1/27/2026,,Digioh,,
,,,,,
"Quality Engineer (Remote) -- Software Resources, Inc.",1/28/26,remote,"Software Resources, Inc.",,
Software Engineering Delivery Manager -- Pride Global,1/28/2026,remote contract,Pride Global,,
Senior QA Lead – Windows .NET Applications -- Central Point Partners - United States,1/28/26,remote contract,Central Point Partners ,,
,,,,,
Software Integration Engineer -- American Sound,1/30/2026,remote,American Sound,,
"Experienced Software Engineer across a wide array of tech stacks -- 
Infinity Software Development, Inc",1-30-2026,,"Infinity Software Development, Inc",,
Senior Data Architect with Des Moines University,1-30-2026,,Des Moines University,,
,,,,,
Senior Data Analyst -- Kode labs,1-31-2026,,Kode labs,,
Senior Applications Developer C# .Net -- Acadia Talent Advisory,1-31-2026,remote,Acadia Talent Advisory,,
,,,,,
senior engineer -- wilco source,2-1-2026,remote,wilco source,,
software engineer -- ccs global tech,2-1-2026,remote,ccs global tech,,
Software Engineer (ASP.NET/SQL)  -- nbcuniversal,2-1-2026,remote,nbcuniversal,,
Senior IT systems engineer -- ornl,2-1-2026,,,,
,,,,,
Software Engineer / Sr Software Engineer,2-2-2026,,Applied Systems,,
Software Engineer,2-2-2026,knoxville,Jobot,,
Senior Software Engineer,2-2-2026,Knoxville,Sales Xceleration Recruiting,,
Software Engineer 5 - Content Localization,2-2-2026,,netflix,,
Tech Engagement Lead,2-2-2026,,CareNet Health,,
IT Audit Associate,2-2-2026,,Kearney & Company,,
,,,,,
Senior .Net Developer,2-3-2026,,Seneca Resources,linkedin,contract
Senior .NET Backend Engineer ,2-3-2026,,Selby Jennings,linkedin,contract
Senior Software Engineer ,2-3-2026,,LearningMate,linkedin,
Senior Software Engineer - Enterprise Integrations (R-49985),2-3-2026,,Crowe,https://careers.crowe.com/,
.NET Software Engineer - US Remote Opportunity,2-3-2026,,Unison,https://careers-unisonglobal.icims.com/,
Senior .NET Developer,2-3-2026,,Agile Resources,linkedin,
,,,,,
Software Engineer - Mid-Level .NETCore ,2-4-2026,,Prestige staffing,linkedIn,
Sr Dotnet Developer - 100% Remote - Direct Hire (Full Time),2-4-2026,,Akkodis,linkedIn,
Lead .Net Developer,2-4-2026,,Strategic Employment Partners (SEP),linkedIn,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4321620153
Senior Software Engineer (.NET),2-4-2026,,Topstep,linkedIn,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4367659359
Senior Software Developer,2-4-2026,,Krasan Consulting Services,linkedIn,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4366942637
Senior Software Developer,2-4-2026,,TherapyNotes.com,indeed,https://www.indeed.com/viewjob?jk=45dc614d53e5dafe&from=apply-conf
,,,,,
